State,2013,2014,2015,2016,2017,2018,2019
United States,6.8,6.3,6,5.8,5.4,5.3,11.1
Alabama,8.9,7.7,7.4,6.9,6.6,5.4,12.6
Alaska,6.2,2.8,8.8,5.6,5.3,4.4,6.7
Arizona,9.4,8.5,9.2,7.6,8,7.7,11.7
Arkansas,6.8,6.8,6.7,7.2,5.7,5.6,12.3
California,6.8,6,5.6,5.3,4.6,4.3,15.8
Colorado,6.9,6.4,6.2,6.4,4.6,4.7,7.6
Connecticut,5.1,4.6,4.1,3.1,4,3.9,8.9
Delaware,6.3,6.5,6.3,7.1,4.1,5,8.9
District of Columbia,5.9,5,2.3,3.5,5.5,4.5,7.8
Florida,7.6,7.1,6.9,6.6,6.7,6.5,11
Georgia,8.7,7,7.5,6.9,6.5,6.2,11.8
Hawaii,4.7,5,3,3.6,3.2,5.5,7.3
Idaho,7.2,6.4,6.8,4.1,5.7,7.4,8.8
Illinois,5.4,5.1,5.1,4.8,5.1,4.6,10.1
Indiana,8.4,8,7.2,7,7.1,7.4,10.2
Iowa,4.6,5,4.6,4.5,3.7,4.7,7.2
Kansas,4.9,5.9,6.1,5.3,5.7,5.2,8.4
Kentucky,7.6,6.4,6.9,6.6,5.2,5.6,12.3
Louisiana,11.6,10.6,8.9,8.7,8,7.8,13.8
Maine,3.9,4.7,4.3,4.1,2.9,4.3,6.3
Maryland,5.4,6,5.2,5.2,4,3.9,9.2
Massachusetts,4,3.8,3.8,3.8,3.6,3.8,8.8
Michigan,6.4,6,6.4,6.1,5.2,5.3,8.4
Minnesota,4.5,4,4.4,4.3,3.6,4.2,6.4
Mississippi,9.6,8.4,6.9,6.2,6.7,6.2,14.4
Missouri,5.9,5.8,6.2,5.8,5.6,6,9
Montana,8.5,6.7,8.4,5.2,5.7,6.5,5.6
Nebraska,4.4,3.9,4.7,5.1,5.3,4.3,8.3
Nevada,10.9,8.6,9.9,8.2,7.6,7.9,13
New Hampshire,3.1,3.7,4.6,3.9,3.7,4.1,6.4
New Jersey,4.3,4.6,3.9,3.7,3.2,3.6,9.5
New Mexico,8.4,9.5,9.1,8.2,7.9,10.3,13.2
New York,6.6,6,5.3,5.5,5,4.8,12.6
North Carolina,8,5.8,6.9,6,5.8,5.7,11
North Dakota,7,5.3,5.6,2.7,4,2.7,6.7
Ohio,6.1,6.1,5.7,6.2,5.2,5.2,8.9
Oklahoma,8.8,7.9,8.5,7.9,7.3,7.2,11.3
Oregon,7.4,6.8,7.3,5.5,7.2,6.1,8.5
Pennsylvania,5.5,5.5,5.5,5.3,5.4,5.4,8.6
Rhode Island,5.8,6.1,5.6,4.1,3.2,4,10.9
South Carolina,8.8,7.3,5.9,5.9,6.1,6.4,11.2
South Dakota,7.1,6.6,8.1,5.1,5.3,8.1,7.5
Tennessee,6.1,5.6,4.7,4.8,5.3,5.4,11.2
Texas,8.2,7.5,7.1,6.7,6.4,6,15.2
Utah,5.2,6.6,6.1,4.7,4.1,3.9,6.9
Vermont,3.2,2.7,1.3,4.5,7.3,4.1,6.1
Virginia,4.4,4.2,3.5,3.9,3.3,3.4,9.2
Washington,6.5,7.1,5.8,7.5,5.8,6,8.1
West Virginia,7.6,6.7,5.1,6.6,4.6,6.4,11.9
Wisconsin,4.9,4.7,4.2,4.7,4.2,4.4,7.1
Wyoming,6.2,4.3,7.3,5.2,3.7,2.8,6.3
