year,state,LocationDesc,prevalence_percent,treatment,2021 Median income,2020 Median income,2019 Median income,2018 Median income,2017(40) Median income,2017 Median income,2016 Median income,2015 Median income,2014 Median income,2013 (39) Median income,2013 (38) Median income,State,Census,Estimates Base,Population Estimate 2010,Population Estimate 2011,Population Estimate 2012,Population Estimate 2013,Population Estimate 2014,Population Estimate 2015,Population Estimate 2016,Population Estimate 2017,Population Estimate 2018,Population Estimate 2019
2013,WY,Wyoming,17.4,0.0,"71,052","65,450","65,134","62,539","59,536","57,837","57,829","60,925","55,690","67,441","55,700",Wyoming,563626.0,563775.0,564487.0,567299.0,576305.0,582122.0,582531.0,585613.0,584215.0,578931.0,577601.0,578759.0
2015,WY,Wyoming,15.7,0.0,"71,052","65,450","65,134","62,539","59,536","57,837","57,829","60,925","55,690","67,441","55,700",Wyoming,563626.0,563775.0,564487.0,567299.0,576305.0,582122.0,582531.0,585613.0,584215.0,578931.0,577601.0,578759.0
2017,NY,New York,5.5,0.0,"72,920","68,659","71,855","67,274","61,543","62,447","61,437","58,005","54,310","49,966","53,843",New York,19378102.0,19378144.0,19399878.0,19499241.0,19572932.0,19624447.0,19651049.0,19654666.0,19633428.0,19589572.0,19530351.0,19453561.0
2019,NY,New York,4.2,0.0,"72,920","68,659","71,855","67,274","61,543","62,447","61,437","58,005","54,310","49,966","53,843",New York,19378102.0,19378144.0,19399878.0,19499241.0,19572932.0,19624447.0,19651049.0,19654666.0,19633428.0,19589572.0,19530351.0,19453561.0
2013,NY,New York,10.6,1.0,"72,920","68,659","71,855","67,274","61,543","62,447","61,437","58,005","54,310","49,966","53,843",New York,19378102.0,19378144.0,19399878.0,19499241.0,19572932.0,19624447.0,19651049.0,19654666.0,19633428.0,19589572.0,19530351.0,19453561.0
2015,NY,New York,8.8,1.0,"72,920","68,659","71,855","67,274","61,543","62,447","61,437","58,005","54,310","49,966","53,843",New York,19378102.0,19378144.0,19399878.0,19499241.0,19572932.0,19624447.0,19651049.0,19654666.0,19633428.0,19589572.0,19530351.0,19453561.0
2019,OH,Ohio,4.9,0.0,"62,689","60,379","64,663","61,633","60,688","59,768","53,985","53,301","49,644","50,748","46,398",Ohio,11536504.0,11536751.0,11539336.0,11544663.0,11548923.0,11576684.0,11602700.0,11617527.0,11634370.0,11659650.0,11676341.0,11689100.0
2013,OH,Ohio,15.1,0.0,"62,689","60,379","64,663","61,633","60,688","59,768","53,985","53,301","49,644","50,748","46,398",Ohio,11536504.0,11536751.0,11539336.0,11544663.0,11548923.0,11576684.0,11602700.0,11617527.0,11634370.0,11659650.0,11676341.0,11689100.0
2017,OK,Oklahoma,12.5,0.0,"60,096","52,471","59,397","54,434","51,882","55,006","50,943","47,077","47,199","46,162","43,777",Oklahoma,3751351.0,3751582.0,3759944.0,3788379.0,3818814.0,3853214.0,3878187.0,3909500.0,3926331.0,3931316.0,3940235.0,3956971.0
2019,OK,Oklahoma,9.1,0.0,"60,096","52,471","59,397","54,434","51,882","55,006","50,943","47,077","47,199","46,162","43,777",Oklahoma,3751351.0,3751582.0,3759944.0,3788379.0,3818814.0,3853214.0,3878187.0,3909500.0,3926331.0,3931316.0,3940235.0,3956971.0
2013,OK,Oklahoma,18.5,0.0,"60,096","52,471","59,397","54,434","51,882","55,006","50,943","47,077","47,199","46,162","43,777",Oklahoma,3751351.0,3751582.0,3759944.0,3788379.0,3818814.0,3853214.0,3878187.0,3909500.0,3926331.0,3931316.0,3940235.0,3956971.0
2015,OK,Oklahoma,13.1,0.0,"60,096","52,471","59,397","54,434","51,882","55,006","50,943","47,077","47,199","46,162","43,777",Oklahoma,3751351.0,3751582.0,3759944.0,3788379.0,3818814.0,3853214.0,3878187.0,3909500.0,3926331.0,3931316.0,3940235.0,3956971.0
2015,AZ,Arizona,10.1,0.0,"70,821","67,088","70,674","62,283","59,700","61,125","57,100","52,248","49,254","52,611","50,602",Arizona,6392017.0,6392288.0,6407172.0,6472643.0,6554978.0,6632764.0,6730413.0,6829676.0,6941072.0,7044008.0,7158024.0,7278717.0
2019,AZ,Arizona,5.3,0.0,"70,821","67,088","70,674","62,283","59,700","61,125","57,100","52,248","49,254","52,611","50,602",Arizona,6392017.0,6392288.0,6407172.0,6472643.0,6554978.0,6632764.0,6730413.0,6829676.0,6941072.0,7044008.0,7158024.0,7278717.0
2017,AZ,Arizona,7.1,0.0,"70,821","67,088","70,674","62,283","59,700","61,125","57,100","52,248","49,254","52,611","50,602",Arizona,6392017.0,6392288.0,6407172.0,6472643.0,6554978.0,6632764.0,6730413.0,6829676.0,6941072.0,7044008.0,7158024.0,7278717.0
2013,AZ,Arizona,14.1,0.0,"70,821","67,088","70,674","62,283","59,700","61,125","57,100","52,248","49,254","52,611","50,602",Arizona,6392017.0,6392288.0,6407172.0,6472643.0,6554978.0,6632764.0,6730413.0,6829676.0,6941072.0,7044008.0,7158024.0,7278717.0
2019,KY,Kentucky,8.9,0.0,"55,629","56,755","55,662","54,555","49,672","51,348","45,369","42,387","42,786","44,879","42,158",Kentucky,4339367.0,4339333.0,4348181.0,4369821.0,4386346.0,4404659.0,4414349.0,4425976.0,4438182.0,4452268.0,4461153.0,4467673.0
2017,KY,Kentucky,14.3,0.0,"55,629","56,755","55,662","54,555","49,672","51,348","45,369","42,387","42,786","44,879","42,158",Kentucky,4339367.0,4339333.0,4348181.0,4369821.0,4386346.0,4404659.0,4414349.0,4425976.0,4438182.0,4452268.0,4461153.0,4467673.0
2013,KY,Kentucky,17.9,0.0,"55,629","56,755","55,662","54,555","49,672","51,348","45,369","42,387","42,786","44,879","42,158",Kentucky,4339367.0,4339333.0,4348181.0,4369821.0,4386346.0,4404659.0,4414349.0,4425976.0,4438182.0,4452268.0,4461153.0,4467673.0
2015,KY,Kentucky,16.9,0.0,"55,629","56,755","55,662","54,555","49,672","51,348","45,369","42,387","42,786","44,879","42,158",Kentucky,4339367.0,4339333.0,4348181.0,4369821.0,4386346.0,4404659.0,4414349.0,4425976.0,4438182.0,4452268.0,4461153.0,4467673.0
2017,NM,New Mexico,10.6,0.0,"53,463","50,906","53,113","48,283","45,601","47,855","48,451","45,119","46,686","40,166","42,127",New Mexico,2059179.0,2059199.0,2064552.0,2080450.0,2087309.0,2092273.0,2089568.0,2089291.0,2091630.0,2091784.0,2092741.0,2096829.0
2019,NM,New Mexico,8.9,0.0,"53,463","50,906","53,113","48,283","45,601","47,855","48,451","45,119","46,686","40,166","42,127",New Mexico,2059179.0,2059199.0,2064552.0,2080450.0,2087309.0,2092273.0,2089568.0,2089291.0,2091630.0,2091784.0,2092741.0,2096829.0
2013,NM,New Mexico,14.4,0.0,"53,463","50,906","53,113","48,283","45,601","47,855","48,451","45,119","46,686","40,166","42,127",New Mexico,2059179.0,2059199.0,2064552.0,2080450.0,2087309.0,2092273.0,2089568.0,2089291.0,2091630.0,2091784.0,2092741.0,2096829.0
2015,NM,New Mexico,11.4,0.0,"53,463","50,906","53,113","48,283","45,601","47,855","48,451","45,119","46,686","40,166","42,127",New Mexico,2059179.0,2059199.0,2064552.0,2080450.0,2087309.0,2092273.0,2089568.0,2089291.0,2091630.0,2091784.0,2092741.0,2096829.0
2017,NV,Nevada,6.7,0.0,"64,340","61,164","70,906","61,864","58,041","56,550","55,431","52,008","49,875","51,846","45,369",Nevada,2700551.0,2700677.0,2702405.0,2712730.0,2743996.0,2775970.0,2817628.0,2866939.0,2917563.0,2969905.0,3027341.0,3080156.0
2019,NV,Nevada,3.6,0.0,"64,340","61,164","70,906","61,864","58,041","56,550","55,431","52,008","49,875","51,846","45,369",Nevada,2700551.0,2700677.0,2702405.0,2712730.0,2743996.0,2775970.0,2817628.0,2866939.0,2917563.0,2969905.0,3027341.0,3080156.0
2013,NV,Nevada,10.3,0.0,"64,340","61,164","70,906","61,864","58,041","56,550","55,431","52,008","49,875","51,846","45,369",Nevada,2700551.0,2700677.0,2702405.0,2712730.0,2743996.0,2775970.0,2817628.0,2866939.0,2917563.0,2969905.0,3027341.0,3080156.0
2015,NV,Nevada,7.5,0.0,"64,340","61,164","70,906","61,864","58,041","56,550","55,431","52,008","49,875","51,846","45,369",Nevada,2700551.0,2700677.0,2702405.0,2712730.0,2743996.0,2775970.0,2817628.0,2866939.0,2917563.0,2969905.0,3027341.0,3080156.0
2013,WV,West Virginia,19.6,0.0,"46,836","51,970","53,706","50,573","46,957","45,392","44,354","42,824","39,552","43,069","40,241",West Virginia,1852994.0,1853018.0,1854239.0,1856301.0,1856872.0,1853914.0,1849489.0,1842050.0,1831023.0,1817004.0,1804291.0,1792147.0
2019,WV,West Virginia,13.5,0.0,"46,836","51,970","53,706","50,573","46,957","45,392","44,354","42,824","39,552","43,069","40,241",West Virginia,1852994.0,1853018.0,1854239.0,1856301.0,1856872.0,1853914.0,1849489.0,1842050.0,1831023.0,1817004.0,1804291.0,1792147.0
2017,WV,West Virginia,14.4,0.0,"46,836","51,970","53,706","50,573","46,957","45,392","44,354","42,824","39,552","43,069","40,241",West Virginia,1852994.0,1853018.0,1854239.0,1856301.0,1856872.0,1853914.0,1849489.0,1842050.0,1831023.0,1817004.0,1804291.0,1792147.0
2015,WV,West Virginia,18.8,0.0,"46,836","51,970","53,706","50,573","46,957","45,392","44,354","42,824","39,552","43,069","40,241",West Virginia,1852994.0,1853018.0,1854239.0,1856301.0,1856872.0,1853914.0,1849489.0,1842050.0,1831023.0,1817004.0,1804291.0,1792147.0
2017,IA,Iowa,9.9,0.0,"72,429","68,816","66,054","68,718","63,467","63,481","59,094","60,855","57,810","60,156","54,855",Iowa,3046355.0,3046871.0,3050745.0,3066336.0,3076190.0,3092997.0,3109350.0,3120960.0,3131371.0,3141550.0,3148618.0,3155070.0
2019,IA,Iowa,6.7,0.0,"72,429","68,816","66,054","68,718","63,467","63,481","59,094","60,855","57,810","60,156","54,855",Iowa,3046355.0,3046871.0,3050745.0,3066336.0,3076190.0,3092997.0,3109350.0,3120960.0,3131371.0,3141550.0,3148618.0,3155070.0
2013,FL,Florida,10.8,0.0,"59,734","57,763","58,368","54,644","53,086","53,681","51,176","48,825","46,140","48,532","47,886",Florida,18801310.0,18804564.0,18845537.0,19053237.0,19297822.0,19545621.0,19845911.0,20209042.0,20613477.0,20963613.0,21244317.0,21477737.0
2019,FL,Florida,4.8,0.0,"59,734","57,763","58,368","54,644","53,086","53,681","51,176","48,825","46,140","48,532","47,886",Florida,18801310.0,18804564.0,18845537.0,19053237.0,19297822.0,19545621.0,19845911.0,20209042.0,20613477.0,20963613.0,21244317.0,21477737.0
2017,FL,Florida,5.7,0.0,"59,734","57,763","58,368","54,644","53,086","53,681","51,176","48,825","46,140","48,532","47,886",Florida,18801310.0,18804564.0,18845537.0,19053237.0,19297822.0,19545621.0,19845911.0,20209042.0,20613477.0,20963613.0,21244317.0,21477737.0
2015,FL,Florida,9.9,0.0,"59,734","57,763","58,368","54,644","53,086","53,681","51,176","48,825","46,140","48,532","47,886",Florida,18801310.0,18804564.0,18845537.0,19053237.0,19297822.0,19545621.0,19845911.0,20209042.0,20613477.0,20963613.0,21244317.0,21477737.0
2013,NE,Nebraska,10.9,0.0,"78,109","72,248","73,071","67,575","59,583","59,619","59,374","60,474","56,870","57,623","53,774",Nebraska,1826341.0,1826305.0,1829542.0,1840672.0,1853303.0,1865279.0,1879321.0,1891277.0,1905616.0,1915947.0,1925614.0,1934408.0
2017,NE,Nebraska,7.4,0.0,"78,109","72,248","73,071","67,575","59,583","59,619","59,374","60,474","56,870","57,623","53,774",Nebraska,1826341.0,1826305.0,1829542.0,1840672.0,1853303.0,1865279.0,1879321.0,1891277.0,1905616.0,1915947.0,1925614.0,1934408.0
2015,NE,Nebraska,13.3,0.0,"78,109","72,248","73,071","67,575","59,583","59,619","59,374","60,474","56,870","57,623","53,774",Nebraska,1826341.0,1826305.0,1829542.0,1840672.0,1853303.0,1865279.0,1879321.0,1891277.0,1905616.0,1915947.0,1925614.0,1934408.0
2019,NE,Nebraska,4.2,0.0,"78,109","72,248","73,071","67,575","59,583","59,619","59,374","60,474","56,870","57,623","53,774",Nebraska,1826341.0,1826305.0,1829542.0,1840672.0,1853303.0,1865279.0,1879321.0,1891277.0,1905616.0,1915947.0,1925614.0,1934408.0
2015,CT,Connecticut,10.3,0.0,"80,958","79,432","87,291","72,812","74,304","72,780","75,923","72,889","70,161","69,291","67,781",Connecticut,3574097.0,3574147.0,3579114.0,3588283.0,3594547.0,3594841.0,3594524.0,3587122.0,3578141.0,3573297.0,3571520.0,3565287.0
2017,CT,Connecticut,7.9,0.0,"80,958","79,432","87,291","72,812","74,304","72,780","75,923","72,889","70,161","69,291","67,781",Connecticut,3574097.0,3574147.0,3579114.0,3588283.0,3594547.0,3594841.0,3594524.0,3587122.0,3578141.0,3573297.0,3571520.0,3565287.0
2019,CT,Connecticut,3.7,0.0,"80,958","79,432","87,291","72,812","74,304","72,780","75,923","72,889","70,161","69,291","67,781",Connecticut,3574097.0,3574147.0,3579114.0,3588283.0,3594547.0,3594841.0,3594524.0,3587122.0,3578141.0,3573297.0,3571520.0,3565287.0
2013,CT,Connecticut,13.5,0.0,"80,958","79,432","87,291","72,812","74,304","72,780","75,923","72,889","70,161","69,291","67,781",Connecticut,3574097.0,3574147.0,3579114.0,3588283.0,3594547.0,3594841.0,3594524.0,3587122.0,3578141.0,3573297.0,3571520.0,3565287.0
2019,NH,New Hampshire,5.5,0.0,"88,841","88,894","86,900","81,346","75,630","74,801","76,260","75,675","73,397","69,099","71,322",New Hampshire,1316470.0,1316462.0,1316762.0,1320202.0,1324232.0,1326622.0,1333341.0,1336350.0,1342307.0,1348787.0,1353465.0,1359711.0
2013,NH,New Hampshire,13.8,0.0,"88,841","88,894","86,900","81,346","75,630","74,801","76,260","75,675","73,397","69,099","71,322",New Hampshire,1316470.0,1316462.0,1316762.0,1320202.0,1324232.0,1326622.0,1333341.0,1336350.0,1342307.0,1348787.0,1353465.0,1359711.0
2017,NH,New Hampshire,7.8,0.0,"88,841","88,894","86,900","81,346","75,630","74,801","76,260","75,675","73,397","69,099","71,322",New Hampshire,1316470.0,1316462.0,1316762.0,1320202.0,1324232.0,1326622.0,1333341.0,1336350.0,1342307.0,1348787.0,1353465.0,1359711.0
2015,NH,New Hampshire,9.3,0.0,"88,841","88,894","86,900","81,346","75,630","74,801","76,260","75,675","73,397","69,099","71,322",New Hampshire,1316470.0,1316462.0,1316762.0,1320202.0,1324232.0,1326622.0,1333341.0,1336350.0,1342307.0,1348787.0,1353465.0,1359711.0
2013,DE,Delaware,14.2,0.0,"68,687","70,022","74,194","65,012","64,961","62,318","58,046","57,756","57,522","54,091","52,219",Delaware,897934.0,897937.0,899593.0,907381.0,915179.0,923576.0,932487.0,941252.0,948921.0,956823.0,965479.0,973764.0
2017,DE,Delaware,6.2,0.0,"68,687","70,022","74,194","65,012","64,961","62,318","58,046","57,756","57,522","54,091","52,219",Delaware,897934.0,897937.0,899593.0,907381.0,915179.0,923576.0,932487.0,941252.0,948921.0,956823.0,965479.0,973764.0
2015,DE,Delaware,9.9,0.0,"68,687","70,022","74,194","65,012","64,961","62,318","58,046","57,756","57,522","54,091","52,219",Delaware,897934.0,897937.0,899593.0,907381.0,915179.0,923576.0,932487.0,941252.0,948921.0,956823.0,965479.0,973764.0
2013,WI,Wisconsin,11.8,0.0,"69,943","67,405","67,355","62,629","63,482","63,451","59,817","55,425","58,080","51,726","55,258",Wisconsin,5686986.0,5687285.0,5690475.0,5705288.0,5719960.0,5736754.0,5751525.0,5760940.0,5772628.0,5790186.0,5807406.0,5822434.0
2019,WI,Wisconsin,5.7,0.0,"69,943","67,405","67,355","62,629","63,482","63,451","59,817","55,425","58,080","51,726","55,258",Wisconsin,5686986.0,5687285.0,5690475.0,5705288.0,5719960.0,5736754.0,5751525.0,5760940.0,5772628.0,5790186.0,5807406.0,5822434.0
