Location,Male_2019,Female_2019,Male_2017,Female_2017,Male_2013,Female_2013
United States,0.489,0.511,0.489,0.511,0.489,0.511
Alabama,0.481,0.519,0.482,0.518,0.481,0.519
Alaska,0.507,0.493,0.513,0.487,0.513,0.487
Arizona,0.493,0.507,0.492,0.508,0.492,0.508
Arkansas,0.484,0.516,0.489,0.511,0.491,0.509
California,0.494,0.506,0.494,0.506,0.494,0.506
Colorado,0.501,0.499,0.499,0.501,0.498,0.502
Connecticut,0.487,0.513,0.486,0.514,0.486,0.514
Delaware,0.482,0.518,0.481,0.519,0.482,0.518
District of Columbia,0.475,0.525,0.471,0.53,0.468,0.532
Florida,0.485,0.515,0.485,0.515,0.485,0.515
Georgia,0.482,0.518,0.481,0.519,0.483,0.517
Hawaii,0.488,0.512,0.488,0.512,0.489,0.511
Idaho,0.499,0.501,0.501,0.499,0.499,0.501
Illinois,0.487,0.513,0.489,0.511,0.489,0.511
Indiana,0.49,0.51,0.49,0.51,0.489,0.511
Iowa,0.495,0.505,0.493,0.507,0.494,0.506
Kansas,0.49,0.51,0.495,0.505,0.494,0.506
Kentucky,0.49,0.51,0.491,0.509,0.489,0.511
Louisiana,0.481,0.519,0.482,0.518,0.482,0.518
Maine,0.484,0.516,0.489,0.511,0.488,0.512
Maryland,0.48,0.52,0.482,0.518,0.483,0.517
Massachusetts,0.486,0.514,0.486,0.515,0.484,0.516
Michigan,0.49,0.51,0.49,0.51,0.489,0.511
Minnesota,0.496,0.504,0.496,0.504,0.493,0.507
Mississippi,0.475,0.525,0.48,0.52,0.48,0.52
Missouri,0.487,0.513,0.488,0.512,0.487,0.513
Montana,0.499,0.501,0.496,0.504,0.497,0.503
Nebraska,0.497,0.503,0.498,0.502,0.494,0.506
Nevada,0.497,0.503,0.497,0.503,0.499,0.501
New Hampshire,0.494,0.506,0.496,0.504,0.491,0.509
New Jersey,0.487,0.513,0.486,0.514,0.486,0.515
New Mexico,0.488,0.512,0.493,0.507,0.492,0.508
New York,0.484,0.516,0.484,0.516,0.484,0.516
North Carolina,0.48,0.52,0.482,0.519,0.482,0.518
North Dakota,0.505,0.495,0.51,0.49,0.507,0.493
Ohio,0.489,0.511,0.487,0.513,0.487,0.513
Oklahoma,0.49,0.51,0.489,0.511,0.49,0.51
Oregon,0.492,0.508,0.494,0.506,0.493,0.507
Pennsylvania,0.487,0.513,0.488,0.512,0.486,0.514
Rhode Island,0.489,0.511,0.485,0.515,0.49,0.51
South Carolina,0.477,0.523,0.48,0.52,0.48,0.52
South Dakota,0.504,0.496,0.502,0.498,0.502,0.498
Tennessee,0.484,0.516,0.484,0.516,0.486,0.514
Texas,0.491,0.509,0.492,0.508,0.492,0.508
Utah,0.5,0.5,0.502,0.498,0.502,0.498
Vermont,0.494,0.506,0.493,0.507,0.493,0.507
Virginia,0.484,0.516,0.484,0.516,0.484,0.516
Washington,0.497,0.503,0.496,0.504,0.496,0.504
West Virginia,0.491,0.509,0.49,0.51,0.491,0.509
Wisconsin,0.493,0.507,0.495,0.505,0.495,0.505
Wyoming,0.509,0.491,0.509,0.491,0.504,0.496
Puerto Rico,0.473,0.527,0.475,0.525,0.476,0.524
